Date	pH	Cl-
20160101	5.0	1.00E-07
20160102	5.0	1.05E-07
20160103	5.0	1.10E-07
20160104	5.0	1.15E-07
20160105	5.0	1.20E-07
20160106	5.0	1.25E-07
20160107	5.0	1.30E-07
20160108	5.0	1.35E-07
20160109	5.0	1.40E-07
20160110	5.0	1.45E-07
20160111	5.0	1.50E-07
20160112	5.0	1.55E-07
20160113	5.0	1.60E-07
20160114	5.0	1.65E-07
20160115	5.0	1.70E-07
20160116	5.0	1.75E-07
20160117	5.0	1.80E-07
20160118	5.0	1.85E-07
20160119	5.0	1.90E-07
20160120	5.0	1.95E-07
20160121	5.0	2.00E-07
20160122	5.0	2.05E-07
20160123	5.0	2.10E-07
20160124	5.0	2.15E-07
20160125	5.0	2.20E-07
20160126	5.0	2.25E-07
20160127	5.0	2.30E-07
20160128	5.0	2.35E-07
20160129	5.0	2.40E-07
20160130	5.0	2.45E-07
20160131	5.0	2.50E-07
20160201	5.0	1.00E-07
20160202	5.0	1.05E-07
20160203	5.0	1.10E-07
20160204	5.0	1.15E-07
20160205	5.0	1.20E-07
20160206	5.0	1.25E-07
20160207	5.0	1.30E-07
20160208	5.0	1.35E-07
20160209	5.0	1.40E-07
20160210	5.0	1.45E-07
20160211	5.0	1.50E-07
20160212	5.0	1.55E-07
20160213	5.0	1.60E-07
20160214	5.0	1.65E-07
20160215	5.0	1.70E-07
20160216	5.0	1.75E-07
20160217	5.0	1.80E-07
20160218	5.0	1.85E-07
20160219	5.0	1.90E-07
20160220	5.0	1.95E-07
20160221	5.0	2.00E-07
20160222	5.0	2.05E-07
20160223	5.0	2.10E-07
20160224	5.0	2.15E-07
20160225	5.0	2.20E-07
20160226	5.0	2.25E-07
20160227	5.0	2.30E-07
20160228	5.0	2.35E-07
20160229	5.0	2.40E-07
20160301	5.0	2.45E-07
20160302	5.0	2.50E-07
20160303	5.0	1.00E-07
20160304	5.0	1.05E-07
20160305	5.0	1.10E-07
20160306	5.0	1.15E-07
20160307	5.0	1.20E-07
20160308	5.0	1.25E-07
20160309	5.0	1.30E-07
20160310	5.0	1.35E-07
20160311	5.0	1.40E-07
20160312	5.0	1.45E-07
20160313	5.0	1.50E-07
20160314	5.0	1.55E-07
20160315	5.0	1.60E-07
20160316	5.0	1.65E-07
20160317	5.0	1.70E-07
20160318	5.0	1.75E-07
20160319	5.0	1.80E-07
20160320	5.0	1.85E-07
20160321	5.0	1.90E-07
20160322	5.0	1.95E-07
20160323	5.0	2.00E-07
20160324	5.0	2.05E-07
20160325	5.0	2.10E-07
20160326	5.0	2.15E-07
20160327	5.0	2.20E-07
20160328	5.0	2.25E-07
20160329	5.0	2.30E-07
20160330	5.0	2.35E-07
20160331	5.0	2.40E-07
20160401	5.0	2.45E-07
20160402	5.0	2.50E-07
20160403	5.0	1.00E-07
20160404	5.0	1.05E-07
20160405	5.0	1.10E-07
20160406	5.0	1.15E-07
20160407	5.0	1.20E-07
20160408	5.0	1.25E-07
20160409	5.0	1.30E-07
20160410	5.0	1.35E-07
20160411	5.0	1.40E-07
20160412	5.0	1.45E-07
20160413	5.0	1.50E-07
20160414	5.0	1.55E-07
20160415	5.0	1.60E-07
20160416	5.0	1.65E-07
20160417	5.0	1.70E-07
20160418	5.0	1.75E-07
20160419	5.0	1.80E-07
20160420	5.0	1.85E-07
20160421	5.0	1.90E-07
20160422	5.0	1.95E-07
20160423	5.0	2.00E-07
20160424	5.0	2.05E-07
20160425	5.0	2.10E-07
20160426	5.0	2.15E-07
20160427	5.0	2.20E-07
20160428	5.0	2.25E-07
20160429	5.0	2.30E-07
20160430	5.0	2.35E-07
20160501	5.0	2.40E-07
20160502	5.0	2.45E-07
20160503	5.0	2.50E-07
20160504	5.0	1.00E-07
20160505	5.0	1.05E-07
20160506	5.0	1.10E-07
20160507	5.0	1.15E-07
